mean_multiplicity,geometric_s,interleaving_depth_D,g_D,total_nu_integral,expected_event_count,target_e,instant_e,rho_D,rho_crit,residual_e,e_acc_at_tau_min,status,schedule_risk_e,schedule_p_mission,schedule_pass_count,fixed_over_schedule_gain,residual_utilization,schedule_mean_tau_seconds,schedule_min_tau_seconds,schedule_max_tau_seconds,saturated_at_tau_min,saturated_at_tau_max,c_value
1.5,0.333333333333,32,5.39659527735e-16,309956.953914,206637.969276,0.0100503358535,1.11514148912e-10,1.10955644206e-08,0.889555251388,0.010050335742,0.00111000681681,scrub_period_selectable,0.0100502692452,0.00999993405782,2547210,12.3873885545,0.999993383629,87.4180129609,1,120,true,false,0.18166879408
1.5,0.333333333333,36,6.66246330538e-18,309956.953914,206637.969276,0.0100503358535,1.3767178878e-12,1.36982276798e-10,0.889555251388,0.0100503358521,0.00111000681681,scrub_period_selectable,0.0100502692452,0.00999993405782,2547210,12.3873885545,0.999993372671,87.4180129609,1,120,true,false,0.18166879408
1.5,0.333333333333,40,8.22526333997e-20,309956.953914,206637.969276,0.0100503358535,1.69965171333e-14,1.69113921973e-12,0.889555251388,0.0100503358535,0.00111000681681,scrub_period_selectable,0.0100502692452,0.00999993405782,2547210,12.3873885545,0.999993372535,87.4180129609,1,120,true,false,0.18166879408
1.5,0.333333333333,41,2.74175444666e-20,309956.953914,206637.969276,0.0100503358535,5.6655057111e-15,5.63713073243e-13,0.889555251388,0.0100503358535,0.00111000681681,scrub_period_selectable,0.0100502692452,0.00999993405782,2547210,12.3873885545,0.999993372534,87.4180129609,1,120,true,false,0.18166879408
1.5,0.333333333333,44,1.01546460987e-21,309956.953914,206637.969276,0.0100503358535,2.09833544856e-16,2.0878261972e-14,0.889555251388,0.0100503358535,0.00111000681681,scrub_period_selectable,0.0100502692452,0.00999993405782,2547210,12.3873885545,0.999993372534,87.4180129609,1,120,true,false,0.18166879408
1.5,0.333333333333,48,1.25366001219e-23,309956.953914,206637.969276,0.0100503358535,2.59053759081e-18,2.57756320641e-16,0.889555251388,0.0100503358535,0.00111000681681,scrub_period_selectable,0.0100502692452,0.00999993405782,2547210,12.3873885545,0.999993372534,87.4180129609,1,120,true,false,0.18166879408
1.5,0.333333333333,64,2.91232405876e-31,309956.953914,206637.969276,0.0100503358535,6.01796729374e-26,5.9878270552e-24,0.889555251388,0.0100503358535,0.00111000681681,scrub_period_selectable,0.0100502692452,0.00999993405782,2547210,12.3873885545,0.999993372534,87.4180129609,1,120,true,false,0.18166879408
2,0.5,1,0.5,309956.953914,154978.476957,0.0100503358535,77489.2384784,7710114.32931,0.889555251388,-77489.2284281,0.00111000681681,architecture_change_required,,,,,,,,,,,
2,0.5,2,0.25,309956.953914,154978.476957,0.0100503358535,38744.6192392,3855057.16465,0.889555251388,-38744.6091889,0.00111000681681,architecture_change_required,,,,,,,,,,,
2,0.5,4,0.0625,309956.953914,154978.476957,0.0100503358535,9686.1548098,963764.291163,0.889555251388,-9686.14475947,0.00111000681681,architecture_change_required,,,,,,,,,,,
2,0.5,8,0.00390625,309956.953914,154978.476957,0.0100503358535,605.384675613,60235.2681977,0.889555251388,-605.374625277,0.00111000681681,architecture_change_required,,,,,,,,,,,
2,0.5,12,0.000244140625,309956.953914,154978.476957,0.0100503358535,37.8365422258,3764.70426236,0.889555251388,-37.8264918899,0.00111000681681,architecture_change_required,,,,,,,,,,,
2,0.5,16,1.52587890625e-05,309956.953914,154978.476957,0.0100503358535,2.36478388911,235.294016397,0.889555251388,-2.35473355326,0.00111000681681,architecture_change_required,,,,,,,,,,,
2,0.5,20,9.53674316406e-07,309956.953914,154978.476957,0.0100503358535,0.14779899307,14.7058760248,0.889555251388,-0.137748657216,0.00111000681681,architecture_change_required,,,,,,,,,,,
2,0.5,24,5.96046447754e-08,309956.953914,154978.476957,0.0100503358535,0.00923743706684,0.919117251552,0.889555251388,0.000812898786657,0.00111000681681,bandwidth_or_tau_min_insufficient,,,,,,,,,,,
2,0.5,25,2.98023223877e-08,309956.953914,154978.476957,0.0100503358535,0.00461871853342,0.459558625776,0.889555251388,0.00543161732008,0.00111000681681,scrub_period_selectable,0.00543157119559,0.00541684688354,5222760,6.04149530133,0.999991508148,48.4648594378,1,120,true,false,0.0943436229837
2,0.5,28,3.72529029846e-09,309956.953914,154978.476957,0.0100503358535,0.000577339816678,0.057444828222,0.889555251388,0.00947299603682,0.00111000681681,scrub_period_selectable,0.00947266684757,0.00942794247008,2699940,11.6866597035,0.999965249721,84.325894487,1,120,true,false,0.16944672579
2,0.5,32,2.32830643654e-10,309956.953914,154978.476957,0.0100503358535,3.60837385424e-05,0.00359030176387,0.889555251388,0.010014252115,0.00111000681681,scrub_period_selectable,0.010014176964,0.00996420205216,2556180,12.3439194423,0.999992495596,87.224968054,1,120,true,false,0.180826795539
2,0.5,36,1.45519152284e-11,309956.953914,154978.476957,0.0100503358535,2.2552336589e-06,0.000224393860242,0.889555251388,0.0100480806198,0.00111000681681,scrub_period_selectable,0.0100479027842,0.00999759125848,2547780,12.3846171961,0.999982301533,87.406375502,1,120,true,false,0.18161603857
2,0.5,40,9.09494701773e-13,309956.953914,154978.476957,0.0100503358535,1.40952103681e-07,1.40246162651e-05,0.889555251388,0.0100501949014,0.00111000681681,scrub_period_selectable,0.0100500200784,0.00999968738256,2547270,12.3870967742,0.999982605011,87.4173284045,1,120,true,false,0.181666094473
2,0.5,41,4.54747350886e-13,309956.953914,154978.476957,0.0100503358535,7.04760518405e-08,7.01230813257e-06,0.889555251388,0.0100502653774,0.00111000681681,scrub_period_selectable,0.0100500200784,0.00999968738256,2547270,12.3870967742,0.999975592775,87.4173284045,1,120,true,false,0.181666094473
2,0.5,44,5.68434188608e-14,309956.953914,154978.476957,0.0100503358535,8.80950648007e-09,8.76538516571e-07,0.889555251388,0.010050327044,0.00111000681681,scrub_period_selectable,0.0100502692452,0.00999993405782,2547210,12.3873885545,0.999994249067,87.4180129609,1,120,true,false,0.18166879408
2,0.5,48,3.5527136788e-15,309956.953914,154978.476957,0.0100503358535,5.50594155004e-10,5.47836572857e-08,0.889555251388,0.0100503353029,0.00111000681681,scrub_period_selectable,0.0100502692452,0.00999993405782,2547210,12.3873885545,0.999993427317,87.4180129609,1,120,true,false,0.18166879408
2,0.5,64,5.42101086243e-20,309956.953914,154978.476957,0.0100503358535,8.40140007026e-15,8.35932270595e-13,0.889555251388,0.0100503358535,0.00111000681681,scrub_period_selectable,0.0100502692452,0.00999993405782,2547210,12.3873885545,0.999993372535,87.4180129609,1,120,true,false,0.18166879408
3,0.666666666667,1,0.666666666667,309956.953914,103318.984638,0.0100503358535,68879.3230919,6853434.95938,0.889555251388,-68879.3130416,0.00111000681681,architecture_change_required,,,,,,,,,,,
3,0.666666666667,2,0.444444444444,309956.953914,103318.984638,0.0100503358535,45919.548728,4568956.63959,0.889555251388,-45919.5386776,0.00111000681681,architecture_change_required,,,,,,,,,,,
3,0.666666666667,4,0.197530864198,309956.953914,103318.984638,0.0100503358535,20408.6883235,2030647.39537,0.889555251388,-20408.6782732,0.00111000681681,architecture_change_required,,,,,,,,,,,
3,0.666666666667,8,0.0390184423106,309956.953914,103318.984638,0.0100503358535,4031.34584169,401115.534888,0.889555251388,-4031.33579135,0.00111000681681,architecture_change_required,,,,,,,,,,,
3,0.666666666667,12,0.00770734662926,309956.953914,103318.984638,0.0100503358535,796.315227987,79232.6982496,0.889555251388,-796.305177652,0.00111000681681,architecture_change_required,,,,,,,,,,,
3,0.666666666667,16,0.00152243884035,309956.953914,103318.984638,0.0100503358535,157.296835158,15650.9033579,0.889555251388,-157.286784822,0.00111000681681,architecture_change_required,,,,,,,,,,,
3,0.666666666667,20,0.000300728659822,309956.953914,103318.984638,0.0100503358535,31.0709797843,3091.53646577,0.889555251388,-31.0609294484,0.00111000681681,architecture_change_required,,,,,,,,,,,
3,0.666666666667,24,5.94031920635e-05,309956.953914,103318.984638,0.0100503358535,6.13747748826,610.673869781,0.889555251388,-6.1274271524,0.00111000681681,architecture_change_required,,,,,,,,,,,
3,0.666666666667,25,3.96021280424e-05,309956.953914,103318.984638,0.0100503358535,4.09165165884,407.115913187,0.889555251388,-4.08160132298,0.00111000681681,architecture_change_required,,,,,,,,,,,
3,0.666666666667,28,1.17339638644e-05,309956.953914,103318.984638,0.0100503358535,1.21234123225,120.626937241,0.889555251388,-1.20229089639,0.00111000681681,architecture_change_required,,,,,,,,,,,
3,0.666666666667,32,2.3178200226e-06,309956.953914,103318.984638,0.0100503358535,0.239474811308,23.8275431587,0.889555251388,-0.229424475455,0.00111000681681,architecture_change_required,,,,,,,,,,,
3,0.666666666667,36,4.57840992118e-07,309956.953914,103318.984638,0.0100503358535,0.0473036664313,4.70667519183,0.889555251388,-0.0372533305778,0.00111000681681,architecture_change_required,,,,,,,,,,,
3,0.666666666667,40,9.04377268382e-08,309956.953914,103318.984638,0.0100503358535,0.00934393410988,0.92971361814,0.889555251388,0.000706401743622,0.00111000681681,bandwidth_or_tau_min_insufficient,,,,,,,,,,,
3,0.666666666667,41,6.02918178921e-08,309956.953914,103318.984638,0.0100503358535,0.00622928940659,0.61980907876,0.889555251388,0.00382104644692,0.00111000681681,scrub_period_selectable,0.00382102405202,0.00381373322871,7903980,3.99207487873,0.999994139066,35.1193638189,1,60,true,false,0.0655381594287
3,0.666666666667,44,1.78642423384e-08,309956.953914,103318.984638,0.0100503358535,0.00184571537973,0.183647134447,0.889555251388,0.00820462047377,0.00111000681681,scrub_period_selectable,0.00820447728242,0.00817091241547,3135660,10.0627236371,0.999982547474,76.5776058781,1,120,true,false,0.141643369664
3,0.666666666667,48,3.52873922734e-09,309956.953914,103318.984638,0.0100503358535,0.000364585754021,0.0362759771748,0.889555251388,0.00968575009948,0.00111000681681,scrub_period_selectable,0.00968529923751,0.00963854778253,2641440,11.9454842813,0.999953451001,85.5170454545,1,120,true,false,0.174234533785
3,0.666666666667,64,5.37228965716e-12,309956.953914,103318.984638,0.0100503358535,5.55059512558e-07,5.52279566225e-05,0.889555251388,0.010049780794,0.00111000681681,scrub_period_selectable,0.0100497709238,0.00999944071942,2547330,12.3868050076,0.999999017868,87.4145901789,1,120,true,false,0.181658844822
