kind,policy,scenario,burst_duration_seconds,rate_cv2,achieved_rate_cv2_mean,achieved_rate_cv2_max,seed,risk_e,p_mission,risk_utilization,target_met,pass_count,fixed_over_policy_gain,mean_tau_seconds,min_tau_seconds,max_tau_seconds,observed_corrections,high_activity_events,relax_events,max_k_per_pass,p_cache_entries
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260650,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.440489207751,2.15539481386,20360621,0.00939462509113,0.00935063347021,0.934757328319,true,6293234,5.01384184983,25.0692122683,1,600,309739,292485,271565,5,6
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.440489207751,2.15539481386,20360621,0.00163176260024,0.00163043199949,0.162359012079,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.439242398943,2.69417506667,20360622,0.00941928818163,0.0093750656439,0.937211285168,true,6283654,5.02148590613,25.1074368512,1,600,309332,292035,271008,5,6
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.439242398943,2.69417506667,20360622,0.00159771918895,0.00159644351513,0.158971721168,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.440748969824,3.23387954789,20360623,0.00944948790831,0.00940498179443,0.940216132679,true,6289853,5.01653695245,25.0826887369,1,600,309733,292382,271356,10,8
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.440748969824,3.23387954789,20360623,0.00155619654336,0.0015549862974,0.154840252709,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.441153576365,2.5652810505,20360624,0.0095018340272,0.00945683424187,0.945424527667,true,6302769,5.00625677381,25.0313024323,1,600,310647,293139,271999,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.441153576365,2.5652810505,20360624,0.00163195602871,0.00163062511257,0.16237825805,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.439564524219,2.50164036785,20360625,0.00938556516677,0.00934165822122,0.933855873434,true,6272789,5.03018354356,25.1509226598,1,600,308564,291299,270307,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.439564524219,2.50164036785,20360625,0.00158230938725,0.00158105819576,0.157438458805,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.440756283156,2.61537404995,20360626,0.00937952522965,0.00933567468906,0.933254904749,true,6297680,5.01030220653,25.0515169078,1,600,309600,292356,271399,5,6
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.440756283156,2.61537404995,20360626,0.00160880908808,0.00160751564847,0.160075156844,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.438100318138,2.31984031247,20360627,0.00939311510805,0.00934913760529,0.934607086267,true,6292143,5.01471120412,25.0735563384,1,600,309314,292077,271061,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.438100318138,2.31984031247,20360627,0.00161661070317,0.00161530469195,0.160851411011,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.44079503127,2.62007103033,20360628,0.00946861435915,0.00942392818016,0.94211919852,true,6283786,5.02138042257,25.1069108655,1,600,309182,291752,270729,7,8
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.44079503127,2.62007103033,20360628,0.00158185805414,0.00158060757614,0.157393551539,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.440252564055,2.56712392958,20360629,0.00928288618954,0.00923993321349,0.923639401196,true,6317745,4.99438961212,24.9719491686,1,600,310412,293379,272608,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.440252564055,2.56712392958,20360629,0.00163118231482,0.00162985266002,0.162301274166,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.438669279564,2.36281258783,20360630,0.00935486218582,0.00931124159009,0.930800952544,true,6283586,5.02154024788,25.107713971,1,600,309000,291842,270863,11,8
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.438669279564,2.36281258783,20360630,0.00161042099203,0.00160912495995,0.160235539936,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.440064327087,2.12552322288,20360631,0.00941828152615,0.00937406842538,0.937111123791,true,6319577,4.99294177443,24.9647126699,1,600,310795,293499,272551,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.440064327087,2.12552322288,20360631,0.00166058344275,0.00165920543694,0.165226661771,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.439970885371,3.68398386951,20360632,0.0093850618485,0.00934115960466,0.933805793687,true,6316675,4.99523562634,24.9761824061,1,600,310392,293145,272432,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.439970885371,3.68398386951,20360632,0.00167225362731,0.00167085619027,0.16638783536,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.442306896852,2.46529801809,20360633,0.00939311509338,0.00934913759076,0.934607084807,true,6301672,5.00712826691,25.0356494276,1,600,310148,292869,271667,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.442306896852,2.46529801809,20360633,0.00160410232857,0.00160281644408,0.159606838214,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.438649956422,2.43486500342,20360634,0.00936996199876,0.00932620069208,0.932303371285,true,6313547,4.99771047875,24.9885546112,1,600,310365,293169,272070,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.438649956422,2.43486500342,20360634,0.00161706203627,0.00161575529591,0.160896318277,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.440632219556,2.93991157138,20360635,0.00960853966981,0.0095625251479,0.956041649738,true,6285512,5.02000155278,25.1000141277,1,600,309757,292120,270852,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.440632219556,2.93991157138,20360635,0.00157689339,0.00157565074687,0.156899571615,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.44026006389,2.94685571332,20360636,0.00942784475304,0.00938354196062,0.938062656857,true,6298211,5.00987978967,25.0494106977,1,600,310083,292735,271590,6,7
baseline_expected,always_tau_min_1s,burst_300s_cv2_0.5,300,0.5,0.44026006389,2.94685571332,20360636,0.00158572662361,0.00158447002344,0.157778470961,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.439652229459,2.34478282244,20360637,0.00936643866792,0.00932271021439,0.931952802817,true,6295764,5.01182699987,25.0591380172,1,600,309654,292378,271287,5,6
