hour_index,timestamp_utc,excel_time,upsets_proton_raw,upsets_proton_filled,is_missing_proton,fill_method,background_proton_gp,event_proton_sp,gcl_ratio,skl_ratio,upsets_total_nu
59,2021-01-03T11:00:00Z,44199.4583333,0.75065612194,0.75065612194,false,raw,0.773719254263,0,10.7,3,9.05251527488
60,2021-01-03T12:00:00Z,44199.5,0.727581489239,0.727581489239,false,raw,0.770888012934,0,10.7,3,9.01938975133
61,2021-01-03T13:00:00Z,44199.5416667,0.657942579234,0.657942579234,false,raw,0.760596851626,0,10.7,3,8.89898316403
62,2021-01-03T14:00:00Z,44199.5833333,0.643761489458,0.643761489458,false,raw,0.75397426113,0,10.7,3,8.82149885522
63,2021-01-03T15:00:00Z,44199.625,0.639378721538,0.639378721538,false,raw,0.749197183247,0,10.7,3,8.76560704399
64,2021-01-03T16:00:00Z,44199.6666667,0.581028194447,0.581028194447,false,raw,0.738984612394,0,10.7,3,8.64611996501
65,2021-01-03T17:00:00Z,44199.7083333,0.620136829858,0.620136829858,false,raw,0.734983574703,0,10.7,3,8.59930782403
66,2021-01-03T18:00:00Z,44199.75,0.628444745657,0.628444745657,false,raw,0.733205717551,0,10.7,3,8.57850689535
67,2021-01-03T19:00:00Z,44199.7916667,0.692721406802,0.692721406802,false,raw,0.730774278583,0,10.7,3,8.55005905942
68,2021-01-03T20:00:00Z,44199.8333333,0.754775914226,0.754775914226,false,raw,0.731816323855,0.022959590371,10.7,3,8.65408935059
69,2021-01-03T21:00:00Z,44199.875,0.781593671337,0.781593671337,false,raw,0.732858369127,0.04873530221,10.7,3,8.76938412763
70,2021-01-03T22:00:00Z,44199.9166667,0.786395617877,0.786395617877,false,raw,0.733900414399,0.052495203478,10.7,3,8.79661566238
71,2021-01-03T23:00:00Z,44199.9583333,0.749627054549,0.749627054549,false,raw,0.734550310581,0.0150767439676,10.7,3,8.65454560967
72,2021-01-04T00:00:00Z,44200,0.831487845811,0.831487845811,false,raw,0.735200206764,0.0962876390472,10.7,3,8.98699297533
73,2021-01-04T01:00:00Z,44200.0416667,0.90239244117,0.90239244117,false,raw,0.735850102946,0.166542338224,10.7,3,9.27561555737
74,2021-01-04T02:00:00Z,44200.0833333,0.8329738015,0.8329738015,false,raw,0.738778798915,0.0941950025846,10.7,3,9.02049195765
75,2021-01-04T03:00:00Z,44200.125,1.00308341485,1.00308341485,false,raw,0.742846894778,0.260236520072,10.7,3,9.73225474919
76,2021-01-04T04:00:00Z,44200.1666667,1.04468654736,1.04468654736,false,raw,0.746914990641,0.297771556719,10.7,3,9.92999161737
