policy,seed,target_e,risk_e,p_mission,risk_utilization,target_met,pass_count,mean_tau_seconds,min_tau_seconds,max_tau_seconds,observed_corrections,high_activity_events,relax_events,q_cache_entries
measured_q16_high1_max120,20261671,0.0100503358535,0.00658881430862,0.00656715566599,0.655581505401,true,6548507,24.0919647791,1,120,309834,297502,281713,182864
measured_q16_high1_max120,20261672,0.0100503358535,0.00656926707702,0.00654773661431,0.653636572228,true,6571054,24.0093001823,1,120,310524,298018,282527,183200
measured_q16_high1_max120,20261673,0.0100503358535,0.00656079097618,0.00653931597705,0.652793207293,true,6566996,24.0241525958,1,120,310562,298011,282488,182985
measured_q16_high1_max120,20261674,0.0100503358535,0.00657645323007,0.00655487568867,0.654351588438,true,6557082,24.0604613455,1,120,310240,297561,281908,182920
measured_q16_high1_max120,20261675,0.0100503358535,0.00657672612899,0.00655514679874,0.654378741652,true,6548724,24.0911769988,1,120,309884,297434,281456,182925
measured_q16_high1_max120,20261676,0.0100503358535,0.00656742717294,0.00654590875575,0.653453503312,true,6562449,24.040788736,1,120,310420,298099,282285,183109
measured_q16_high1_max120,20261677,0.0100503358535,0.00656906559904,0.00654753645553,0.653616525337,true,6553328,24.0742459404,1,120,309943,297306,281683,183016
measured_q16_high1_max120,20261678,0.0100503358535,0.00657620809253,0.00655463215794,0.654327197457,true,6552897,24.0758289044,1,120,310106,297456,281792,182877
measured_q16_high1_max120,20261679,0.0100503358535,0.00657382871369,0.00655226837225,0.654090451256,true,6554670,24.0693125665,1,120,309941,297546,281806,182678
measured_q16_high1_max3600,20262650,0.0100503358535,0.00685759472016,0.0068341350737,0.682324931238,true,6448561,24.465376384,1,600,309024,296258,276591,185226
measured_q16_high1_max3600,20262651,0.0100503358535,0.00684103963004,0.00681769298721,0.680677713637,true,6456766,24.4342759208,1,600,310066,297238,277024,185404
measured_q16_high1_max3600,20262652,0.0100503358535,0.00682961973986,0.00680635088957,0.679541444128,true,6460929,24.4185483233,1,600,309679,296850,277004,184758
measured_q16_high1_max3600,20262653,0.0100503358535,0.00684497805884,0.0068216045573,0.681069584003,true,6456470,24.435404176,1,600,309509,296655,276762,185093
measured_q16_high1_max3600,20262654,0.0100503358535,0.00684516613204,0.00682179134752,0.681088297129,true,6465885,24.3998153385,1,600,310357,297306,277290,185023
measured_q16_high1_max3600,20262655,0.0100503358535,0.00685414013379,0.00683070409051,0.681981202787,true,6450627,24.4575383137,1,600,309627,296718,276764,185277
measured_q16_high1_max3600,20262656,0.0100503358535,0.0068561165825,0.00683266703674,0.682177857778,true,6447598,24.4690222622,1,600,309350,296493,276558,185139
measured_q16_high1_max3600,20262657,0.0100503358535,0.00684347112919,0.0068201079062,0.680919645765,true,6467352,24.3942828533,1,600,310219,297362,277399,185434
measured_q16_high1_max3600,20262658,0.0100503358535,0.00682780876487,0.00680455223908,0.679361253633,true,6469290,24.3869804878,1,600,309937,297128,277220,185328
measured_q16_high1_max3600,20262659,0.0100503358535,0.00687739609017,0.00685380092377,0.68429515097,true,6439459,24.4999628074,1,600,309474,296209,276135,184903
measured_q16_high1_max3600,20262660,0.0100503358535,0.00685075006267,0.00682733717026,0.68164389355,true,6470878,24.3810061015,1,600,310651,297584,277248,185168
measured_q16_high1_max3600,20262661,0.0100503358535,0.00682793702064,0.00680467962212,0.679374014975,true,6481361,24.3415557319,1,600,311063,298160,277857,185256
measured_q16_high1_max3600,20262662,0.0100503358535,0.00684629883721,0.00682291632498,0.681201000345,true,6437974,24.5056003643,1,600,309497,296502,275953,185016
measured_q16_high1_max3600,20262663,0.0100503358535,0.00684279830451,0.00681943967003,0.680852700273,true,6455570,24.4388085018,1,600,310007,297065,276759,184986
measured_q16_high1_max3600,20262664,0.0100503358535,0.0068464892473,0.0068231054359,0.68121994599,true,6438557,24.5033969568,1,600,309382,296357,276104,184993
measured_q16_high1_max3600,20262665,0.0100503358535,0.00684261882273,0.0068192614122,0.680834841986,true,6462241,24.413574486,1,600,309874,296899,276950,185220
measured_q16_high1_max3600,20262666,0.0100503358535,0.0068678028972,0.00684427343494,0.683340636304,true,6457353,24.432055209,1,600,310013,296952,276862,185033
measured_q16_high1_max3600,20262667,0.0100503358535,0.00681370049302,0.00679053986886,0.6779574924,true,6481086,24.3426152654,1,600,311087,298156,278004,185548
measured_q16_high1_max3600,20262668,0.0100503358535,0.00685264324726,0.00682921742766,0.681832263832,true,6440119,24.4974432926,1,600,309315,296327,275937,184956
measured_q16_high1_max3600,20262669,0.0100503358535,0.00684630520315,0.00682292264749,0.681201633751,true,6464584,24.4047273576,1,600,310004,297162,277194,185285
measured_q16_high1_max3600,20262670,0.0100503358535,0.00683565721316,0.00681234725161,0.680142167665,true,6466416,24.3978185134,1,600,310235,297365,277229,185054
measured_q16_high1_max3600,20262671,0.0100503358535,0.00684677722262,0.0068233914463,0.681248599293,true,6442163,24.4896777682,1,1200,309346,296352,276257,184983
measured_q16_high1_max3600,20262672,0.0100503358535,0.00686016733989,0.00683669010851,0.682580904746,true,6434242,24.5198152323,1,600,309248,296122,276039,184719
measured_q16_high1_max3600,20262673,0.0100503358535,0.0068452054704,0.00682183041752,0.681092211263,true,6457696,24.4307657096,1,600,309639,296762,276930,185062
measured_q16_high1_max3600,20262674,0.0100503358535,0.0068547819357,0.00683134150827,0.682045061541,true,6443638,24.484058074,1,600,309397,296309,276173,184844
measured_q16_high1_max3600,20262675,0.0100503358535,0.00682245133381,0.00679923124868,0.67882819373,true,6469214,24.3872668303,1,600,310601,297524,277506,185148
measured_q16_high1_max3600,20262676,0.0100503358535,0.0068567252221,0.00683327151753,0.682238416909,true,6437541,24.5072464781,1,600,309271,296189,275960,184970
measured_q16_high1_max3600,20262677,0.0100503358535,0.00682042283318,0.00679721653825,0.678626359616,true,6487005,24.3203822103,1,600,311595,298361,278222,185015
measured_q16_high1_max3600,20262678,0.0100503358535,0.00684414090209,0.00682077311096,0.680986287608,true,6460509,24.4201216963,1,600,309845,297013,277130,184898
measured_q16_high1_max3600,20262679,0.0100503358535,0.00685583635483,0.00683238872374,0.68214997536,true,6443945,24.4828925449,1,600,309593,296566,276499,184948
measured_q32_high1_max120,20263650,0.0100503358535,0.00391455878963,0.00390690689223,0.389495321022,true,12682105,12.4400811222,1,120,309626,302112,274960,181661
measured_q32_high1_max120,20263651,0.0100503358535,0.00390186939305,0.00389426699174,0.388232736689,true,12742774,12.3808532585,1,120,310880,303258,276309,182109
measured_q32_high1_max120,20263652,0.0100503358535,0.00389418931775,0.00388661679533,0.387468575629,true,12750557,12.3732949078,1,120,311041,303530,276418,181490
measured_q32_high1_max120,20263653,0.0100503358535,0.00391827947292,0.00391061303226,0.389865525892,true,12685126,12.4371178497,1,120,309682,302054,275083,181532
measured_q32_high1_max120,20263654,0.0100503358535,0.00391171717431,0.00390407637481,0.389212582677,true,12691235,12.4311322736,1,120,309919,302373,275237,181977
measured_q32_high1_max120,20263655,0.0100503358535,0.00392719864351,0.00391949728381,0.390752975896,true,12656433,12.4653163336,1,120,309041,301516,274494,182196
measured_q32_high1_max120,20263656,0.0100503358535,0.00390049178187,0.00389289474441,0.388095665531,true,12723793,12.3993255785,1,120,310538,302997,275674,182120
measured_q32_high1_max120,20263657,0.0100503358535,0.00390512015516,0.00389750508925,0.388556184796,true,12693298,12.4291118825,1,120,309977,302487,275181,182136
measured_q32_high1_max120,20263658,0.0100503358535,0.00390749184283,0.00389986753045,0.388792165733,true,12706244,12.4164486374,1,120,310382,302768,275467,181465
measured_q32_high1_max120,20263659,0.0100503358535,0.00390723476585,0.00389961145601,0.388766586789,true,12719136,12.403866033,1,120,309898,302534,275579,181753
measured_q32_high1_max120,20263660,0.0100503358535,0.00391503857625,0.00390738480425,0.389543059388,true,12689978,12.4323638701,1,120,309685,301988,275014,181885
measured_q32_high1_max120,20263661,0.0100503358535,0.00390243551645,0.00389483091035,0.388289065493,true,12695696,12.4267640782,1,120,309779,302285,275192,181633
measured_q32_high1_max120,20263662,0.0100503358535,0.0039085661098,0.00390093760735,0.388899054397,true,12683621,12.4385935215,1,120,309043,301569,274789,181793
measured_q32_high1_max120,20263663,0.0100503358535,0.00391275034488,0.00390510551128,0.389315382284,true,12682737,12.4394605045,1,120,309278,301779,274980,181748
measured_q32_high1_max120,20263664,0.0100503358535,0.00390487559326,0.00389726148051,0.388531851093,true,12720165,12.4028597899,1,120,310274,302675,275629,181588
measured_q32_high1_max120,20263665,0.0100503358535,0.00391151823562,0.00390387821277,0.389192788444,true,12681045,12.4411213745,1,120,309425,301780,274936,182015
measured_q32_high1_max120,20263666,0.0100503358535,0.00391000939297,0.00390237525933,0.389042659864,true,12688305,12.434004936,1,120,309933,302464,275227,181693
measured_q32_high1_max120,20263667,0.0100503358535,0.00390077477324,0.00389317663408,0.388123822935,true,12717039,12.4059069883,1,120,310293,302843,275787,181897
measured_q32_high1_max120,20263668,0.0100503358535,0.00390226358765,0.00389465965116,0.388271958721,true,12736573,12.3868801286,1,120,310869,303372,276318,181621
measured_q32_high1_max120,20263669,0.0100503358535,0.00391404971805,0.00390639980942,0.389444668826,true,12692711,12.4296864555,1,120,309865,302326,275195,181708
measured_q32_high1_max120,20263670,0.0100503358535,0.00391329407249,0.00390564711543,0.389369482725,true,12686200,12.4360644637,1,120,309389,301950,274973,181880
measured_q32_high1_max120,20263671,0.0100503358535,0.00391155215037,0.00390391199513,0.389196162933,true,12675473,12.4465924072,1,120,309094,301701,274848,182039
measured_q32_high1_max120,20263672,0.0100503358535,0.00389881664947,0.00389122613172,0.38792899126,true,12720739,12.4022983256,1,120,310740,303153,275936,182100
measured_q32_high1_max120,20263673,0.0100503358535,0.00392050884065,0.00391283367932,0.390087346114,true,12662740,12.459106086,1,120,309407,301826,274562,181847
measured_q32_high1_max120,20263674,0.0100503358535,0.0039066917609,0.00389907056842,0.388712558251,true,12689896,12.432443812,1,120,309385,301885,275085,181695
measured_q32_high1_max120,20263675,0.0100503358535,0.00390362497084,0.00389601573131,0.388407415209,true,12711030,12.4117744195,1,120,310327,302819,275642,181898
measured_q32_high1_max120,20263676,0.0100503358535,0.00391422009923,0.003906569525,0.38946162161,true,12699862,12.4226874276,1,120,309801,302246,275562,181871
measured_q32_high1_max120,20263677,0.0100503358535,0.00391278581596,0.00390514084384,0.389318911626,true,12703609,12.4190234444,1,120,310079,302647,275511,181692
measured_q32_high1_max120,20263678,0.0100503358535,0.00391237971798,0.00390473633164,0.389278505217,true,12685230,12.4370154108,1,120,309375,301882,275072,181840
measured_q32_high1_max120,20263679,0.0100503358535,0.00390796608496,0.00390033992299,0.388839352428,true,12729061,12.3941900349,1,120,310667,303082,276078,182171
